Team,M,xG,xGA
Everton,4,10.04,2.75
Aston Villa,3,5.91,3.04
Leicester,4,7.27,5.36
Arsenal,4,5.34,5.07
Liverpool,4,10.24,5.45
Tottenham,4,9.59,5.36
Chelsea,4,7.07,5.15
Leeds,4,5.76,7.66
Newcastle United,4,5.08,6.36
West Ham,4,8.01,3.83
Southampton,4,5.20,4.18
Crystal Palace,4,3.86,7.15
Wolverhampton Wanderers,4,3.62,7.05
Manchester City,3,4.94,6.16
Brighton,4,7.46,5.71
Manchester United,3,3.55,8.19
West Bromwich Albion,4,1.74,10.43
Burnley,3,2.31,3.65
Sheffield United,4,3.48,4.55
Fulham,4,3.19,6.54
